Date,BTC Closing Value
"Feb 04, 2022","35,153.47"
"Feb 03, 2022",-
"Feb 02, 2022","32,702.76"
"Feb 01, 2022","34,367.76"
"Jan 31, 2022","34,270.42"
"Jan 30, 2022","33,999.80"
"Jan 29, 2022","34,206.48"
"Jan 28, 2022","33,889.11"
"Jan 27, 2022","33,324.29"
"Jan 26, 2022","32,783.68"
