Date,BTC Closing Value
"Apr 26, 2023","25,783.53"
"Apr 25, 2023","24,893.01"
"Apr 24, 2023","25,101.65"
"Apr 23, 2023","25,068.71"
"Apr 22, 2023","24,581.54"
"Apr 21, 2023","25,753.05"
"Apr 20, 2023","26,317.67"
"Apr 19, 2023","27,696.79"
"Apr 18, 2023","26,952.85"
"Apr 17, 2023","27,598.19"
